season,utcDate,matchday,homeTeam,awayTeam,homeScore,awayScore,winner
2023,2024-02-11T14:30:00Z,21,VfB Stuttgart,1. FSV Mainz 05,3,1,HOME_TEAM
2023,2024-02-11T16:30:00Z,21,TSG 1899 Hoffenheim,1. FC Köln,1,1,DRAW
2023,2024-02-16T19:30:00Z,22,1. FC Köln,SV Werder Bremen,0,1,AWAY_TEAM
2023,2024-02-17T14:30:00Z,22,VfL Wolfsburg,Borussia Dortmund,1,1,DRAW
2023,2024-02-17T14:30:00Z,22,TSG 1899 Hoffenheim,1. FC Union Berlin,0,1,AWAY_TEAM
2023,2024-02-17T14:30:00Z,22,1. FC Heidenheim 1846,Bayer 04 Leverkusen,1,2,AWAY_TEAM
2023,2024-02-17T14:30:00Z,22,1. FSV Mainz 05,FC Augsburg,1,0,HOME_TEAM
2023,2024-02-17T14:30:00Z,22,SV Darmstadt 98,VfB Stuttgart,1,2,AWAY_TEAM
2023,2024-02-17T17:30:00Z,22,RB Leipzig,Borussia Mönchengladbach,2,0,HOME_TEAM
2023,2024-02-18T14:30:00Z,22,SC Freiburg,Eintracht Frankfurt,3,3,DRAW
2023,2024-02-18T16:30:00Z,22,VfL Bochum 1848,FC Bayern München,3,2,HOME_TEAM
2023,2024-02-23T19:30:00Z,23,Bayer 04 Leverkusen,1. FSV Mainz 05,2,1,HOME_TEAM
2023,2024-02-24T14:30:00Z,23,VfB Stuttgart,1. FC Köln,1,1,DRAW
2023,2024-02-24T14:30:00Z,23,1. FC Union Berlin,1. FC Heidenheim 1846,2,2,DRAW
2023,2024-02-24T14:30:00Z,23,SV Werder Bremen,SV Darmstadt 98,1,1,DRAW
2023,2024-02-24T14:40:00Z,23,Borussia Mönchengladbach,VfL Bochum 1848,5,2,HOME_TEAM
2023,2024-02-24T17:30:00Z,23,FC Bayern München,RB Leipzig,2,1,HOME_TEAM
2023,2024-02-25T14:30:00Z,23,Eintracht Frankfurt,VfL Wolfsburg,2,2,DRAW
2023,2024-02-25T16:30:00Z,23,Borussia Dortmund,TSG 1899 Hoffenheim,2,3,AWAY_TEAM
2023,2024-02-25T18:30:00Z,23,FC Augsburg,SC Freiburg,2,1,HOME_TEAM
